sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_ratio_mean,lambda_ratio_std,n_seed,lambda_ratio_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,gaussian_map,0,0.0,0.0,1.0,0.4,1.0,0.0,8,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.8837132020120517,0.013545131012100257,8,0.004788926995358147,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.59415514809002,0.021207142869117342,8,0.007497857266172404,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.0833415217303776,0.01445904452817304,8,0.005112044217674701,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.25284995881546357,0.020368939816871698,8,0.007201507735045325,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.0014099865450149197,0.01370700138722214,8,0.004846156815319094,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,0.0,0.0,1.0,0.4,1.0,0.0,8,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.9273874771162759,0.07418762837261074,8,0.026229287551210283,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.6037109131421454,0.07458722340933982,8,0.02637056573131009,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.09231213592136954,0.03897484512601769,8,0.013779688642151284,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.24468774609613406,0.03231150802830729,8,0.011423843218589828,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
