sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,gaussian_map,0,40260801,0,0.0,0.0,1.0,0.4,0.40847503868468793,0.9976455396499825,0.05056770833333333,0.020958333333333332,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,0,40260801,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.35194138453919405,0.999748516460447,0.051304933694013344,0.017986377471489973,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,0,40260801,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.24091113139207565,0.9997232908996949,0.05024222462257277,0.012071338607074225,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,0,40260801,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.02482075022721,0.9798824972244738,0.05018090646241991,-0.0012415937219325895,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,0,40260801,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.10021798704631572,0.9959102445724496,0.04996702252642615,-0.004984484808223253,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,0,40260801,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,0.0024118911006355227,-0.2594350632438376,0.049826088422946314,0.00011969146934131844,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,40260802,0,0.0,0.0,1.0,0.4,0.3993532245603603,0.9999333743244705,0.050109375,0.01998958333333333,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,40260802,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3620297815568811,0.9991421860982501,0.049630423611437935,0.018103308677232297,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,40260802,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.2383390243958834,0.9994135651495987,0.04995201657399789,0.011856531000648145,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,40260802,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.038537521979981164,0.9901752330807894,0.0491521092179041,-0.001893977095963769,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,40260802,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.10857640903392171,0.9996634462533841,0.05055723348243735,-0.0054817533556411726,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,40260802,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.004221014458645877,0.09015853771082383,0.05054710172594832,-0.00021324107469062215,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,40260803,0,0.0,0.0,1.0,0.4,0.4050793908814958,0.9995969771210511,0.05040625,0.020526041666666665,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,40260803,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3618790449928839,0.9997141626684266,0.05044082411573783,0.018303250079061875,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,40260803,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.2389001384659107,0.9998079286235189,0.049584994596615396,0.011831522145948601,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,40260803,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.037759666098895195,0.9948076526444647,0.04946900826396851,-0.0018658723964870179,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,40260803,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.10293889600454663,0.9853919428938395,0.05033396434212141,-0.005234319177662966,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,40260803,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.006294882692219156,0.7331028665473995,0.04895357896839143,-0.0003070912720159705,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,3,40260804,0,0.0,0.0,1.0,0.4,0.4035342804495998,0.9998552038677881,0.04923958333333334,0.019807291666666664,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,3,40260804,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.357679316666729,0.9989465602181633,0.05041458646467496,0.017949404502486627,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,3,40260804,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.22931618858971967,0.9993798854754985,0.04982419081164699,0.011409613727235072,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,3,40260804,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.03929946876042707,0.9963002265376898,0.050509642667317424,-0.001985397382341482,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,3,40260804,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.09921859841244562,0.9911495410173476,0.04947202671571432,-0.00486697067715202,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,3,40260804,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,0.0028244313696978115,-0.1559824403036878,0.049679106417293624,0.00014144623255090078,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,40260805,0,0.0,0.0,1.0,0.4,0.3948254323762093,0.9995337214744164,0.049979166666666665,0.019635416666666666,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,40260805,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3515346644463857,0.998666884211657,0.05017501885528134,0.017561252665457938,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,40260805,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.24739575796581562,0.999502272543734,0.05006326365570011,0.0124323780476692,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,40260805,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.025243963230741205,0.8960990895896254,0.05124466746848367,-0.0013021755034014226,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,40260805,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.11554210718292447,0.998731861779613,0.05070192174772467,-0.005838153067011499,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,40260805,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.00847617729979106,0.505683966822698,0.050300640746387446,-0.00042715668286627046,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,5,40260806,0,0.0,0.0,1.0,0.4,0.3989778378499486,0.9996336660938518,0.049463541666666666,0.01984375,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,5,40260806,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.34979625203430137,0.9999797263411978,0.049989848330751575,0.017487854684519362,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,5,40260806,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.22808177721745918,0.999556944525107,0.0490064576055626,0.011192503614458782,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,5,40260806,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.036535889870269116,0.9896230068487761,0.04959511252810378,-0.0018082358273593731,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,5,40260806,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.09074738040613992,0.9988034050849675,0.04856781179002739,-0.00440273818827694,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,5,40260806,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,0.003789669109777809,0.6466656821919123,0.05070233009874673,0.0001927083333333335,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,40260807,0,0.0,0.0,1.0,0.4,0.3918435104985229,0.9997169291674728,0.049796875000000004,0.019432291666666664,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,40260807,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3435035569860642,0.9991641650998148,0.05020833674450276,0.01713293237825345,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
