sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,gaussian_map,0,1.0,0.0,0.04988810547530412,0.00015042589321660123,1.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,0.23761752813775905,0.0,0.011837779249470092,0.00015620714927812461,0.237262009540898,0.0027660387290248767,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,0.056462089678298695,2.6226553776572348e-18,0.002864696518112488,7.553278048490507e-05,0.05740354336678046,0.0014080892112989865,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,3,0.013416382182849813,6.556638444143087e-19,0.0006755476148139757,3.799811293262515e-05,0.013536571855546747,0.0007475021760617026,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,0.003187967570840244,3.2783192220715434e-19,0.0001512566738228548,3.6045542593425646e-05,0.003032535300385764,0.0007224208392525028,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,5,0.0007575169739663951,0.0,5.8199040436921575e-05,1.5233572328178109e-05,0.0011691684906826065,0.00030701646636768017,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,0.00017999931087628993,1.0244747568973573e-20,1.1955102493674258e-05,1.0316380901171006e-05,0.00023941663729425843,0.0002060860123497336,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,7,4.277099131692407e-05,2.5611868922433933e-21,3.881033830826824e-06,4.723366644210777e-06,7.740047132896857e-05,9.482808400680796e-05,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,8,1.016313723272905e-05,0.0,-1.0343385235132218e-05,7.133036692278147e-06,-0.00020721474208374894,0.00014315991260987655,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,9,2.414939547365901e-06,1.6007418076521208e-22,-4.815448998326721e-06,5.120939772493688e-06,-9.663552522321826e-05,0.00010263163780232968,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,10,5.738319658472041e-07,0.0,-3.353226753467686e-06,3.7642569520513584e-06,-6.712527568576261e-05,7.509461294925522e-05,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,11,1.3635253329104362e-07,1.0004636297825755e-23,-2.0327964134085014e-06,1.6306262960277316e-06,-4.075303525326497e-05,3.2723118787520325e-05,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,12,3.239975191593928e-08,0.0,2.8339535431421126e-08,2.3625618301377058e-07,5.854885158533879e-07,4.7300866378333664e-06,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,13,7.698748962542111e-09,6.252897686141097e-25,-6.510416666666666e-07,6.510416666666665e-07,-1.2990014941666942e-05,1.2990014941666939e-05,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,14,1.8293576982323935e-09,0.0,1.6995597945319224e-07,1.6995597945319221e-07,3.3910743744347244e-06,3.3910743744347244e-06,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,15,4.3468745433376176e-10,1.9540305269190928e-26,1.557467790641348e-22,1.557467790641348e-22,3.1075629882771627e-21,3.1075629882771627e-21,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,16,1.0328935841128351e-10,4.885076317297732e-27,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,17,2.4543362028624235e-11,1.221269079324433e-27,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,18,5.831933017431827e-12,6.106345396622165e-28,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,19,1.3857695078671324e-12,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,20,3.2928312502806686e-13,1.9082329364444266e-29,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,21,7.824344222664589e-14,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,22,1.859201333488515e-14,1.1926455852777666e-30,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,23,4.417788251739664e-15,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,24,1.0497439242144108e-15,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,25,2.494375564494593e-16,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,26,5.927073558824325e-17,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,27,1.4083765681385065e-17,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,28,3.3465495880821217e-18,1.4558661929660237e-34,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,29,7.951988409105091e-19,3.639665482415059e-35,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,30,1.8895318295516625e-19,9.099163706037648e-36,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,31,4.4898588267568344e-20,2.274790926509412e-36,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,32,1.066869156101458e-20,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,33,2.535068117192454e-21,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,34,6.023766196681137e-22,3.5543608226709563e-38,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,35,1.4313524337351615e-22,8.885902056677391e-39,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
