R,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_ratio_mean,lambda_ratio_se
6,gaussian_map,0,0.0,0.0,1.0,1.0,0.0
6,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.9710423261116636,0.004500116906921128
6,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.8804178758410626,0.004713394862032719
6,gaussian_map,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.5559245544678106,0.0052824538943943575
6,gaussian_map,6,0.39269908169872414,0.125,0.15397992208521458,0.15319622547656384,0.0033221868301883586
6,gaussian_map,8,0.5235987755982988,0.16666666666666666,-0.16666666666666657,-0.16609511612321975,0.0029718456783497118
6,microscopic,0,0.0,0.0,1.0,1.0,0.0
6,microscopic,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.9630395135259159,0.009366832255652633
6,microscopic,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.8628337174941255,0.010513820433273223
6,microscopic,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.5502198880422612,0.011512190118118304
6,microscopic,6,0.39269908169872414,0.125,0.15397992208521458,0.16311689401542587,0.0058778722877582965
6,microscopic,8,0.5235987755982988,0.16666666666666666,-0.16666666666666657,-0.16348726013050596,0.008844051967902986
12,gaussian_map,0,0.0,0.0,1.0,1.0,0.0
12,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.8831807164657546,0.0034485122870186553
12,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.5969526636107904,0.003484574424805731
12,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.07623738748897362,0.002904295677882857
12,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.25176919540943826,0.003069318858861607
12,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-0.008556475087773182,0.0030246809711830932
12,microscopic,0,0.0,0.0,1.0,1.0,0.0
12,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.8905557191667702,0.008862551820358822
12,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.5885018018247319,0.004026664755503677
12,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.08916806380874334,0.00448730816677988
12,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.24725775463831487,0.006094899854384547
12,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,0.01912507177623318,0.011905732483437166
18,gaussian_map,0,0.0,0.0,1.0,1.0,0.0
18,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.7667856577555567,0.7681107850419683,0.005171639252873255
18,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.2522571646805467,0.24755767351973992,0.0031133296293992803
18,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.23877094757569864,-0.24076840094155402,0.0022076311640055724
18,gaussian_map,6,0.39269908169872414,0.125,0.09061035076099075,0.09364781650951437,0.003141025385187782
18,gaussian_map,8,0.5235987755982988,0.16666666666666666,-0.05555555555555541,-0.054574071327031404,0.003259450619376363
18,microscopic,0,0.0,0.0,1.0,1.0,0.0
18,microscopic,1,0.06544984694978735,0.020833333333333332,0.7667856577555567,0.7787890493385623,0.008529116357205737
18,microscopic,2,0.1308996938995747,0.041666666666666664,0.2522571646805467,0.27003213344707516,0.010257221592783826
18,microscopic,4,0.2617993877991494,0.08333333333333333,-0.23877094757569864,-0.2484911892889845,0.010069028008272965
18,microscopic,6,0.39269908169872414,0.125,0.09061035076099075,0.09671751732340755,0.010099324866148542
18,microscopic,8,0.5235987755982988,0.16666666666666666,-0.05555555555555541,-0.06045880512940241,0.014883009605900267
24,gaussian_map,0,0.0,0.0,1.0,1.0,0.0
24,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.6155591663946678,0.6189112224859697,0.00408559137075346
24,gaussian_map,2,0.1308996938995747,0.041666666666666664,-0.04166666666666657,-0.04914533643102379,0.004574578257655199
24,gaussian_map,4,0.2617993877991494,0.08333333333333333,-1.0942448641864363e-16,-0.0019489706269217352,0.0032019504879784782
24,gaussian_map,6,0.39269908169872414,0.125,-0.04166666666666661,-0.03979937266896104,0.00430032565691916
24,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.949279591100894e-17,0.002000507268500821,0.0023468343326775182
24,microscopic,0,0.0,0.0,1.0,1.0,0.0
24,microscopic,1,0.06544984694978735,0.020833333333333332,0.6155591663946678,0.6106083550903061,0.007469624074112774
24,microscopic,2,0.1308996938995747,0.041666666666666664,-0.04166666666666657,-0.04487843997983389,0.009907173355423729
24,microscopic,4,0.2617993877991494,0.08333333333333333,-1.0942448641864363e-16,0.014222869167423356,0.005040299830540131
24,microscopic,6,0.39269908169872414,0.125,-0.04166666666666661,-0.041627150392236814,0.007139618526646203
24,microscopic,8,0.5235987755982988,0.16666666666666666,-5.949279591100894e-17,-0.010512583242284684,0.010572082336234504
