sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_ratio_mean,lambda_ratio_std,n_seed,lambda_ratio_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
R,6.0,gaussian_map,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.6968189463973326,0.969038058620573,0.009977829813370356,8,0.003527695561279741,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.6297282894523665,0.8775508676901125,0.010686901106582977,8,0.0037783901211674207,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.3957452467635091,0.5475620556369996,0.009832852474520596,8,0.0034764383315702184,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,6,0.39269908169872414,0.125,0.15397992208521458,0.11086554390135449,0.1532295011713813,0.006590112551017037,8,0.002329956636803362,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-0.16666666666666657,-0.11999999999999993,-0.16812019987448434,0.02250305845751645,8,0.007956032616373586,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.6968189463973326,0.9543601055121649,0.026720224542048622,8,0.009447025984254896,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.6297282894523665,0.8855746117069061,0.03264186183315782,8,0.011540640926390122,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.3957452467635091,0.5435348122758606,0.020845455144976027,8,0.007369981344966277,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,6,0.39269908169872414,0.125,0.15397992208521458,0.11086554390135449,0.14892175655114975,0.02166987203426194,8,0.007661456731435671,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,8,0.5235987755982988,0.16666666666666666,-0.16666666666666657,-0.11999999999999993,-0.1774343139834857,0.017952983219910193,8,0.006347338088663398,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,12.0,gaussian_map,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.8877737524193942,0.011222576617503975,8,0.003967780014311324,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.5963543791630954,0.014422515045827854,8,0.005099129095334942,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.08763968908820084,0.007352689060196172,8,0.002599568147210428,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.24373663861313208,0.00896704194404101,8,0.0031703280829078,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.004075376990449938,0.011531482826436137,8,0.004076994851854604,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,microscopic,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.8964228395781464,0.027645408139083245,8,0.009774127781907766,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.6073594540894433,0.018880300893432685,8,0.006675194396294341,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.07919209415345796,0.025698200831713848,8,0.009085686036199319,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.24931929268280295,0.019281357153944537,8,0.006816989197016966,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,12.0,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.014536795282579567,0.036519448669764025,8,0.012911574899792092,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
R,18.0,gaussian_map,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.7667856577555567,0.5520856735840008,0.7631504007932148,0.01441795614200031,8,0.005097517279429325,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.2522571646805467,0.18162515856999362,0.25456176316385637,0.010478347840038591,8,0.0037046554066613503,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.23877094757569864,-0.17191508225450303,-0.24109417609632738,0.010968695426049056,8,0.003878019458264577,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,gaussian_map,6,0.39269908169872414,0.125,0.09061035076099075,0.06523945254791334,0.09295632970316971,0.005526204000515415,8,0.001953808161492338,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-0.05555555555555541,-0.03999999999999989,-0.058653889550315697,0.006046495018912733,8,0.0021377588151419375,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.7667856577555567,0.5520856735840008,0.7764619422328007,0.018897006473034415,8,0.006681100710604359,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,2,0.1308996938995747,0.041666666666666664,0.2522571646805467,0.18162515856999362,0.2326189994711144,0.029860671265775622,8,0.010557341571406115,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,4,0.2617993877991494,0.08333333333333333,-0.23877094757569864,-0.17191508225450303,-0.2271622296388278,0.03327409031624575,8,0.011764167450215501,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,6,0.39269908169872414,0.125,0.09061035076099075,0.06523945254791334,0.0827280064198083,0.023364285381845176,8,0.008260522315540223,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,8,0.5235987755982988,0.16666666666666666,-0.05555555555555541,-0.03999999999999989,-0.056330475993028366,0.02176780013515256,8,0.00769607954353991,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,24.0,gaussian_map,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.6155591663946678,0.44320259980416077,0.6129864647508336,0.015280690555906076,8,0.00540253995664721,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,-0.04166666666666657,-0.029999999999999926,-0.03823804593974075,0.012838468621149065,8,0.004539084111032604,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,-1.0942448641864363e-16,-7.878563022142341e-17,0.0019961893420791643,0.007803696641686333,8,0.002759023406829547,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,6,0.39269908169872414,0.125,-0.04166666666666661,-0.029999999999999957,-0.04003908421127636,0.008935041892482051,8,0.0031590143561799704,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.949279591100894e-17,-4.2834813055926433e-17,-0.0044241906712580775,0.01430414727025358,8,0.005057279766943674,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.6155591663946678,0.44320259980416077,0.6196143135659149,0.02007467923608442,8,0.007097470908990038,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,2,0.1308996938995747,0.041666666666666664,-0.04166666666666657,-0.029999999999999926,-0.042247905727409205,0.02690190312110966,8,0.009511259061880092,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,4,0.2617993877991494,0.08333333333333333,-1.0942448641864363e-16,-7.878563022142341e-17,0.0007473469586451898,0.02827571499903826,8,0.009996974909359062,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,6,0.39269908169872414,0.125,-0.04166666666666661,-0.029999999999999957,-0.04549361805318164,0.024427355112892565,8,0.008636374223389108,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,8,0.5235987755982988,0.16666666666666666,-5.949279591100894e-17,-4.2834813055926433e-17,0.006861704478268076,0.021508095781054663,8,0.007604260188596762,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
