sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
R,6.0,gaussian_map,0,30260801,0,0.0,0.0,1.0,0.72,0.7026290397431102,0.9998232322223489,0.04934375,0.03465625,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,0,30260801,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.6968189463973326,0.6780640520125755,0.9981655462260793,0.050147403793881475,0.03450269362826478,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,0,30260801,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.6297282894523665,0.6229369860328845,0.9994499513236026,0.04973704843736296,0.0311779322273396,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,0,30260801,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.3957452467635091,0.38369990030860857,0.9982265123147126,0.04987367988174444,0.01905005895195696,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,0,30260801,6,0.39269908169872414,0.125,0.15397992208521458,0.11086554390135449,0.10974910192805365,0.9750561731474405,0.049518330498545426,0.005361284033397096,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,0,30260801,8,0.5235987755982988,0.16666666666666666,-0.16666666666666657,-0.11999999999999993,-0.12059704435132033,0.9890480263152254,0.049786511512423366,-0.005952690169061902,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,30260802,0,0.0,0.0,1.0,0.72,0.693855209866133,0.9986705071400346,0.04947395833333333,0.03455729166666666,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,30260802,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.6968189463973326,0.6779344705963228,0.9989104212567103,0.04989642221027413,0.03359340670296879,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,30260802,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.6297282894523665,0.6147178068318897,0.9994750534916756,0.050343407835204856,0.030963749536502896,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,30260802,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.3957452467635091,0.36855484966180896,0.9992310821417797,0.05048118077311195,0.018713285778199074,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,30260802,6,0.39269908169872414,0.125,0.15397992208521458,0.11086554390135449,0.0995195034935804,0.9820366551406794,0.05029023263234256,0.005038012504857924,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,30260802,8,0.5235987755982988,0.16666666666666666,-0.16666666666666657,-0.11999999999999993,-0.11991719572506487,0.9893768916164501,0.050172602712575065,-0.005960215500982063,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,2,30260803,0,0.0,0.0,1.0,0.72,0.6943382919717643,0.9992288939978816,0.050567708333333336,0.03490625,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
