sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
R,6.0,gaussian_map,0,1.0,0.0,0.049763098472685126,0.000118853834702672,1.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,0.6297282894523665,0.0,0.030317520087400594,0.0002121860304658696,0.6092389084606192,0.004044393111471202,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,2,0.3965577185366035,2.0981243021257878e-17,0.018533525864279886,0.00018452738597554558,0.37241892000095445,0.0033462439371149608,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,3,0.24972361376318825,2.0981243021257878e-17,0.011284727961457445,0.00012077178564170936,0.22676217556303974,0.0022734477902734435,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,4,0.157258024130956,0.0,0.00673710395593338,0.00016149657942225975,0.13538132454087076,0.00321651339328712,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,5,0.0990298265386459,0.0,0.004096477226613312,0.0001279276317545946,0.08232991390456462,0.002609236429794498,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,6,0.06236188327094605,0.0,0.0025656748771703004,9.715723476211572e-05,0.051564671207195455,0.0019717435843398376,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,7,0.039271042079241,0.0,0.001560508886484098,8.678739755832976e-05,0.031376017668352726,0.001782475210415009,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,8,0.02473008615357234,1.3113276888286174e-18,0.0009217464446129214,5.342872547177516e-05,0.018528360260156997,0.0010869659607694068,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,9,0.015573234851498764,0.0,0.0006106063475166852,5.008457815873446e-05,0.012271633143191614,0.001008931649347707,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,10,0.009806906544274295,0.0,0.00038313687083096275,4.392383639384133e-05,0.007695614479102214,0.0008771064496585662,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,11,0.006175686482945071,3.2783192220715434e-19,0.00026701799915288937,3.648581469332349e-05,0.005365549065145049,0.0007334258850474121,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,12,0.003889004485099101,1.6391596110357717e-19,0.00017324138076131758,1.723898034984894e-05,0.003479155292169332,0.00034305527339421426,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,13,0.002449016142074038,1.6391596110357717e-19,0.00010624937588864588,2.2560526396007584e-05,0.002132491794387593,0.0004527581375519119,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,14,0.0015422147459895172,8.195798055178859e-20,6.0776848794966335e-05,2.106081972917889e-05,0.0012192933527309822,0.0004233236159468487,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,15,0.0009711762539601947,0.0,8.9543171298522e-06,8.892331720576174e-06,0.00018000854275447472,0.00017904519899092166,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,16,0.0006115771611631102,4.0978990275894293e-20,1.5652004357004482e-06,6.619830186994354e-06,3.157414469906232e-05,0.00013313304815817728,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,17,0.0003851274395673798,0.0,-2.7750273021693933e-06,1.0649676342032416e-05,-5.456150191500689e-05,0.00021458641194055676,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,18,0.0002425256437399357,1.0244747568973573e-20,5.893015925274662e-06,8.195919279843454e-06,0.00011920015726696753,0.00016506823559841956,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,19,0.00015272525878068374,0.0,4.855781527299462e-06,8.073828694694116e-06,9.805525586304899e-05,0.0001621572521517299,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,20,9.617541596813e-05,0.0,6.4092605411334734e-06,1.0000745919073242e-05,0.00012912629533318843,0.00020120615226429535,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,21,6.056438018498032e-05,2.5611868922433933e-21,7.756331451712185e-06,5.937232347476501e-06,0.00015621026578389814,0.0001192780535036922,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,22,3.813910353563045e-05,0.0,9.525920391811073e-07,3.760825140422408e-06,1.9398941035335423e-05,7.540227750668464e-05,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,23,2.401727243073927e-05,1.2805934461216967e-21,-3.709613132863633e-07,1.8259457047570015e-06,-7.404395839450467e-06,3.660527754828292e-05,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,24,1.5124355885120918e-05,0.0,-1.370016126814787e-06,1.4256802356597431e-06,-2.740802501159478e-05,2.861421029872864e-05,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,25,9.524234760606028e-06,0.0,-5.837079896927441e-07,1.0246631773995423e-06,-1.1645920658573078e-05,2.05165700029475e-05,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,26,5.997680064139203e-06,3.2014836153042417e-22,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,27,3.77690880747294e-06,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,28,2.3784263227475116e-06,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,29,1.497762339812273e-06,8.003709038260604e-23,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
