sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit_mean,lambda_fit_std,fit_r2_mean,fit_r2_std,A0_mean,A1_mean,A1_std,n_seed,lambda_fit_se,A1_se,relative_error,unreliable,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,gaussian_map,0,0.0,0.0,1.0,0.37393650107548,0.38930079095535947,0.005433956465968018,0.9995936129368979,0.0004185526036608341,0.04979882812500002,0.019333333333333348,0.00034096545349373783,8,0.001921193732879236,0.0001205494921578842,0.04108796503066749,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3418915385151903,0.004583065395157507,0.9990120011905597,0.0007169245206523542,0.050023920354608085,0.016994616938042214,0.0003106005076392964,8,0.0016203583097686386,0.00010981386259586526,0.029863685876948747,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22578903781547258,0.005990301408907252,0.999106031912726,0.0005519267737755102,0.05008775972135081,0.011282369498562714,0.0003633953573276532,8,0.0021178913737948234,0.00012847966070904607,0.016451147354842894,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.03351235627794763,0.004911956377459841,0.9843014025382555,0.010434214509868098,0.05002641729163046,-0.0016783748190597192,0.00024303748962264176,8,0.001736638831697181,8.592672849736258e-05,0.07544536085338582,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09856645234791561,0.007347756742309794,0.9961227016951826,0.008557761304234558,0.050418977853176415,-0.004968507615337324,0.00042857269661656787,8,0.002597824309498215,0.00015152333000449002,0.04958315797941307,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.002214798029607489,0.006843306605415046,0.5066174601169796,0.49632206223356884,0.05008914994530264,0.00011226879149002024,0.00034383412558230573,8,0.0024194742532138358,0.00012156372090129767,,True,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,0.0,0.0,1.0,0.37393650107548,0.3897198588439437,0.013610484129038,0.9949159615706372,0.0022291976734336305,0.04979882812500002,0.019459635416666683,0.0008779965254404583,8,0.004812032811437325,0.00031041864849858753,0.04220865768136881,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.34240064801465564,0.012486085157263216,0.99406763057542,0.0030971123652984403,0.050023920354608085,0.01707228438672775,0.0006725357010627339,8,0.004414497742586759,0.00023777727740575396,0.03139725230538808,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22320479661487394,0.009847610454860448,0.9844771967771073,0.011245519214755563,0.05008775972135081,0.011203946279233554,0.0005750623076152824,8,0.0034816560655576818,0.00020331522865977528,0.004817478338825956,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.0360094858473973,0.012610371499219489,0.6748242266413216,0.20109249547260116,0.05002641729163046,-0.0017902530011082204,0.000617664870091509,8,0.004458439600189835,0.00021837750907120697,0.15558077086875483,True,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09530252627585745,0.01192467829989963,0.8732352427614929,0.12054306746746431,0.050418977853176415,-0.0047939771985522055,0.0005727760772416515,8,0.004216010444663549,0.00020250692415950075,0.014827297820927867,False,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.0007208359150112089,0.011869900811554937,-0.017333341987727263,0.6841024851817298,0.05008914994530264,-3.380988072155844e-05,0.0005976923136716,8,0.004196643677931099,0.00021131614403013268,,True,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
