sweep_parameter,sweep_value,dynamics,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff,n_seeds
delta,-0.1,gaussian_map,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393,8
delta,-0.1,microscopic,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393,8
delta,-0.05,gaussian_map,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393,8
delta,-0.05,microscopic,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393,8
delta,0.0,gaussian_map,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393,8
delta,0.0,microscopic,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393,8
delta,0.05,gaussian_map,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393,8
delta,0.05,microscopic,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393,8
delta,0.1,gaussian_map,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393,8
delta,0.1,microscopic,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393,8
