sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_ratio_mean,lambda_ratio_std,n_seed,lambda_ratio_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,gaussian_map,0,0.0,0.0,1.0,0.37393650107548,1.0,0.0,8,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.8783466813363323,0.01564441112351588,8,0.0055311345965541655,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.5799900831269833,0.01330088664219239,8,0.004702573570243903,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.08605334762012626,0.01230343950800119,8,0.00434992275401306,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.25322761509598246,0.019304629866332693,8,0.006825217343390101,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.005649543282460628,0.01747026517590064,8,0.006176671487503267,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,0.0,0.0,1.0,0.37393650107548,1.0,0.0,8,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.8790928127053359,0.03350412859843782,8,0.01184549826485076,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.5733808484313384,0.032812132274002696,8,0.011600840618068639,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.09239159830873427,0.031939652682481716,8,0.011292372500262961,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.24524050479992787,0.034545896730932855,8,0.012213818920306402,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.00122363094691603,0.03026434788764484,8,0.010700062809771215,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,0,0.0,0.0,1.0,0.562911200236417,1.0,0.0,8,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.89161182216951,0.02052336703000206,8,0.0072561059998474346,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.5932411681656419,0.013957398539171132,8,0.00493468557738556,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.08693807966107296,0.011580229173094033,8,0.004094229287994538,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.2501198700552992,0.011635824201910288,8,0.004113885098932656,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,-0.0001878466798564131,0.011436293260060158,8,0.004043340257913273,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,0,0.0,0.0,1.0,0.562911200236417,1.0,0.0,8,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.9021056979541617,0.036038571714002765,8,0.012741559221624526,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
