sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,gaussian_map,0,50260801,0,0.0,0.0,1.0,0.37393650107548,0.39595630099840046,0.9996041333248853,0.04941145833333336,0.01956770833333335,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,0,50260801,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.34596971773866947,0.9987341050197123,0.04907136169784219,0.016827625974507175,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,0,50260801,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22213430460036937,0.9996362839744115,0.049757330931791466,0.01102968031431477,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,0,50260801,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.02882589411039902,0.9675968719449116,0.05048628982527296,-0.0014614889195518857,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,0,50260801,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.10017933871611175,0.9998240084033438,0.05026668059026192,-0.00504082304681653,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,0,50260801,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.004929262244248005,0.7300840899481902,0.04876954463929765,-0.00024077850739321607,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,1,50260802,0,0.0,0.0,1.0,0.37393650107548,0.3882226484685281,0.9999650111909023,0.04956250000000002,0.019234375000000015,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,1,50260802,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.34181406525549674,0.9977092074213487,0.0508155051578702,0.01717681852307393,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,1,50260802,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.2264722525766391,0.9988417481600904,0.04977397894263948,0.011272887033005061,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,1,50260802,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.03452815721754859,0.9877914461838956,0.0498180541252733,-0.0017253238345066265,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
