sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,gaussian_map,0,1.0,0.0,0.050087759721350815,0.00025231135555241435,1.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,1,0.22213466766509504,0.0,0.011282369498562714,0.00012847966070904607,0.22524419889107988,0.002193552479932621,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,2,0.049343810578682215,2.6226553776572348e-18,0.0026614851677894077,6.0852696909153276e-05,0.0531580806898759,0.0013211387683762304,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,3,0.010960970964224976,0.0,0.0006325002257115806,4.608129015303323e-05,0.012616759982428238,0.0008984815083760057,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,0.002434811642424872,1.6391596110357717e-19,0.0002067355382082388,2.7884479538761025e-05,0.004119487321549193,0.0005491760586186852,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,5,0.0005408560750171531,4.0978990275894293e-20,5.616194319111517e-05,1.836866271358272e-05,0.0011179594864468647,0.0003673867582347392,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,0.000120142884478583,5.122373784486787e-21,8.959581079696598e-06,6.939040423074801e-06,0.00017887381634973414,0.00013995209916035903,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,7,2.6687899715975944e-05,0.0,9.979165424756103e-06,4.9297383949539714e-06,0.00019989352193276717,9.84331123782218e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,8,5.928307734087699e-06,3.2014836153042417e-22,8.862220999031328e-06,5.478663874459671e-06,0.00017540179164708764,0.00010847342552567207,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,9,1.316882668327984e-06,0.0,3.7516278908517805e-06,1.855511687933533e-06,7.54178059036367e-05,3.724339770065303e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
