t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,6,0.39269908169872414,0.002770833333333332,0.02492047684909548,-0.00011897861314463755,0.024920760869136593,0.023581447951710945,-0.002532589641050167,0.023717054998232956,0.04984095369819096,0.05
1,6,0.39269908169872414,0.0034166666666666664,-0.004358441125180941,-3.956551960213285e-05,0.004358620707518595,-0.00736383388901026,-0.00019681455702194912,0.007366463569094177,-0.008716882250361883,-0.009041009238188773
2,6,0.39269908169872414,0.0029166666666666677,0.0012983305959397926,-6.202093854791772e-05,0.0012998111144207614,0.0004485844291744776,-0.002807271839005586,0.002842886414926139,0.0025966611918795852,0.0016347969609002947
3,6,0.39269908169872414,0.003229166666666667,-0.0001849183017130663,8.166534122851147e-05,0.00020214847579542577,-0.004549686942839874,-0.0002951577207424141,0.0045592509645731825,-0.0003698366034261326,-0.0002956042885212499
4,6,0.39269908169872414,0.0043125,-0.0002485999062596723,-0.00019754003649380983,0.00031752791910364916,-0.001889336171485533,0.0024318887808123216,0.0030795574700148804,-0.0004971998125193446,5.345122206737679e-05
5,6,0.39269908169872414,-0.0012291666666666673,0.00020157781385618447,-0.00016669893660600747,0.00026157628047017613,-0.0016229810000407147,0.0012570785261049474,0.002052879379624469,0.00040315562771236894,-9.665059850072663e-06
6,6,0.39269908169872414,0.000729166666666667,-2.6247580973912074e-06,3.0401693897641317e-05,3.0514788986910957e-05,0.005146169285406068,0.00014862786482392889,0.005148315118197304,-5.249516194782415e-06,1.7476379078430868e-06
7,6,0.39269908169872414,-0.005270833333333333,2.0108495083640206e-05,-4.1700076826844634e-05,4.629522634023434e-05,-5.638117814193048e-05,0.0012446963208084172,0.0012459726193952587,4.021699016728041e-05,-3.1600820939636494e-07
8,6,0.39269908169872414,-0.005520833333333333,-4.0523628203976636e-05,-8.601496576706016e-05,9.508279959447273e-05,0.00031368210564169187,0.00044860867502224966,0.0005473994946152435,-8.104725640795327e-05,5.7140662809920556e-08
9,6,0.39269908169872414,-0.006312500000000001,8.613263181276635e-05,2.545481872353741e-05,8.981524402484091e-05,0.0022100648715804084,0.00043974466375940854,0.0022533890267547236,0.0001722652636255327,-1.0332185206814429e-08
10,6,0.39269908169872414,-0.0073125,-4.135990588451571e-05,-3.122293920013681e-05,5.1821942718036315e-05,0.004383918278334321,0.0006631038563285072,0.004433784635657386,-8.271981176903142e-05,1.8682676381097323e-09
11,6,0.39269908169872414,-0.007625,5.2619495925777155e-05,8.036577430245846e-05,9.605971596208563e-05,0.0005212527652288159,-0.00018888967839104286,0.0005544220016028933,0.00010523899185155431,-3.3782049951118416e-10
12,6,0.39269908169872414,-0.0008750000000000002,-1.8525480005988645e-06,-4.9394211318454565e-05,4.942893935607629e-05,-0.0030485093118765875,0.003472379985871828,0.004620696028833913,-3.705096001197729e-06,6.108476513860324e-11
13,6,0.39269908169872414,2.0833333333334075e-05,1.3331593868132784e-05,-1.624017170928419e-05,2.101129630013032e-05,0.0010242757827399853,-0.004020384028374185,0.004148810506002154,2.6663187736265568e-05,-1.1045358518614067e-11
14,6,0.39269908169872414,0.00225,4.518846973837899e-05,-8.301010361856105e-06,4.594458151212214e-05,0.00034784833989481156,0.0024237087490676795,0.0024485429479334836,9.037693947675797e-05,1.9972237681179365e-12
15,6,0.39269908169872414,-0.003833333333333333,-1.698944076768576e-05,-9.353147244962075e-07,1.7015167093877226e-05,-0.0005484725410530929,0.002348903516653016,0.0024120882775790233,-3.397888153537152e-05,-3.6113837076568914e-13
16,6,0.39269908169872414,-0.003458333333333332,-3.617160047829924e-05,-2.6613185898011683e-05,4.4907085685934085e-05,-0.004097189206716988,-0.0039030916485957258,0.005658717506023417,-7.234320095659848e-05,6.530110692714075e-14
17,6,0.39269908169872414,-0.0042291666666666675,-7.365695637359876e-06,7.365695637359876e-06,1.0416666666666676e-05,0.002742907310385582,0.0011273740722110954,0.00296555438528119,-1.4731391274719752e-05,-1.180775821984465e-14
