t,i,representative_spin,ensemble_mean_plus,symmetric_response,theory_perturbation
0,0,1,0.039,0.05,0.05
0,1,1,0.052,0.0535,0.04957224306869052
0,2,1,0.093,0.0525,0.04829629131445342
0,3,1,0.061,0.047,0.04619397662556434
0,4,1,0.017,0.04,0.04330127018922194
0,5,1,0.072,0.034999999999999996,0.039667667014561765
0,6,1,0.031,0.037,0.03535533905932738
0,7,1,0.053,0.0275,0.030438071450436033
0,8,1,0.02,0.025,0.02500000000000001
0,9,-1,0.04,0.026000000000000002,0.019134171618254495
0,10,-1,0.033,0.0115,0.012940952255126049
0,11,-1,0.045,0.005499999999999998,0.006526309611002586
0,12,-1,0.003,0.0,3.061616997868383e-18
0,13,-1,0.022,-0.005500000000000001,-0.006526309611002569
0,14,1,-0.006,-0.013999999999999999,-0.012940952255126032
0,15,1,-0.022,-0.0195,-0.019134171618254477
0,16,-1,-0.002,-0.019,-0.024999999999999994
0,17,-1,0.008,-0.030500000000000003,-0.03043807145043602
0,18,1,-0.071,-0.039999999999999994,-0.035355339059327376
0,19,1,-0.032,-0.044,-0.03966766701456176
0,20,-1,-0.039,-0.040999999999999995,-0.043301270189221926
0,21,-1,-0.017,-0.045,-0.04619397662556434
0,22,-1,-0.04,-0.053000000000000005,-0.04829629131445341
0,23,1,-0.048,-0.054,-0.04957224306869052
0,24,1,-0.014,-0.0445,-0.05
0,25,-1,-0.055,-0.045,-0.04957224306869053
0,26,-1,-0.049,-0.049,-0.04829629131445343
0,27,1,-0.022,-0.045,-0.04619397662556435
0,28,-1,-0.048,-0.0445,-0.043301270189221946
0,29,1,-0.03,-0.0325,-0.03966766701456177
0,30,1,-0.078,-0.0365,-0.0353553390593274
0,31,1,-0.037,-0.0245,-0.030438071450436047
0,32,-1,0.007,-0.0225,-0.025000000000000022
0,33,1,-0.035,-0.018000000000000002,-0.01913417161825452
0,34,-1,-0.032,-0.015,-0.012940952255126077
0,35,-1,-0.054,-0.005000000000000001,-0.0065263096110026245
0,36,1,0.012,0.0,-9.184850993605149e-18
0,37,1,0.022,0.004999999999999999,0.006526309611002564
0,38,-1,0.067,0.014500000000000002,0.012940952255126016
0,39,1,0.024,0.024,0.01913417161825446
0,40,1,0.008,0.0265,0.024999999999999967
0,41,1,0.055,0.0285,0.030438071450435995
0,42,1,0.042,0.0405,0.03535533905932737
0,43,-1,0.002,0.036000000000000004,0.03966766701456175
0,44,1,0.053,0.049,0.04330127018922192
0,45,-1,0.038,0.05,0.04619397662556433
0,46,-1,0.034,0.042499999999999996,0.048296291314453406
0,47,1,0.067,0.0455,0.049572243068690514
0,48,-1,0.025,0.056999999999999995,0.05
0,49,-1,0.014,0.0495,0.04957224306869053
0,50,1,0.033,0.051500000000000004,0.04829629131445343
0,51,-1,0.06,0.052,0.046193976625564355
0,52,1,0.005,0.0385,0.04330127018922195
0,53,1,0.043,0.0355,0.03966766701456179
0,54,1,0.059,0.036,0.03535533905932742
0,55,1,0.004,0.0305,0.03043807145043605
0,56,-1,0.024,0.025500000000000002,0.02500000000000003
0,57,1,0.027,0.0165,0.019134171618254522
0,58,-1,-0.008,0.017,0.012940952255126082
0,59,1,-0.02,0.007000000000000001,0.006526309611002631
0,60,-1,0.012,0.0,5.971700597434818e-17
0,61,1,-0.058,-0.005000000000000001,-0.006526309611002557
0,62,-1,-0.042,-0.013500000000000002,-0.01294095225512601
0,63,-1,0.014,-0.0205,-0.01913417161825441
0,64,-1,-0.034,-0.0285,-0.024999999999999963
0,65,-1,-0.01,-0.025,-0.03043807145043603
0,66,1,-0.056,-0.0375,-0.035355339059327334
